Region,Hotspot_Label,Representative_Type,ID,SMILES,Manifold_X,Manifold_Y,Bioactivity_Score,LogP,TPSA,MolWt,Bertz_CT
Hotspot,0,热点内最高活性分子,101,Nc1ccc2ccccc2c1,7.8830075,8.158957,8.405303476,2.422,26.02,143.0734993,379.2844904
Hotspot,0,热点中心代表分子,3,Clc1ccc2ccccc2c1,7.758453,8.0870695,5.617119208,3.4932,0.0,162.0236279,379.2844904
Hotspot,1,热点内最高活性分子,257,C=CC(C)(C)c1ccccc1,3.036785,11.021465,7.133989809,3.1502,0.0,146.1095504,231.4750399
Hotspot,1,热点中心代表分子,136,CC(C)(Br)c1ccccc1,2.9739015,11.084148,5.33336902,3.3166,0.0,198.0044125,195.718293
Hotspot,2,热点内最高活性分子,196,C#Cc1nc2cncnc2n1C,-11.959975,-0.07040416,8.494602903,0.3446,43.6,158.0592462,463.352863
Hotspot,2,热点中心代表分子,82,COc1nc2cncnc2n1C,-11.852429,0.014672481,4.952234941,0.3719,52.83,164.0698109,408.6986225
Hotspot,3,热点内最高活性分子,85,C=CCC(C)c1ccccc1,12.291089,2.0432608,8.68698047,3.3662,0.0,146.1095504,210.7397365
Hotspot,3,热点中心代表分子,205,CC(CF)c1ccccc1,12.176842,1.9762565,5.680705599,2.7596,0.0,138.0844786,181.1795714
Hotspot,4,热点内最高活性分子,319,CCc1ncc2ncn(C)c2n1,-9.639689,2.4095163,8.464021324,0.9257,43.6,162.0905463,404.3501069
Hotspot,4,热点中心代表分子,12,COc1ncc2ncn(C)c2n1,-9.784815,2.3471205,6.100262351,0.3719,52.83,164.0698109,408.6986225
Hotspot,5,热点内最高活性分子,225,NC(C(=O)O)c1ccccc1,10.92663,3.9580407,7.122262926,0.771,63.32,151.0633285,245.5287877
Hotspot,5,热点中心代表分子,63,O=C(O)C(Br)c1ccccc1,10.724701,3.8303757,7.083768157,2.2072,37.3,213.9629416,245.5287877
Hotspot,6,热点内最高活性分子,110,Cn1cnc2c(F)ncnc21,-4.6353555,5.4255977,6.918097982,0.5024,43.6,152.0498244,394.3816552
Hotspot,6,热点中心代表分子,112,C#Cc1ncnc2c1ncn2C,-4.6233096,5.4409423,5.113936347,0.3446,43.6,158.0592462,463.352863
Hotspot,7,热点内最高活性分子,199,O=C(O)Cc1ccc(Br)cc1,6.3437896,5.098454,7.844851726,2.0762,37.3,213.9629416,253.2994976
Hotspot,7,热点中心代表分子,133,O=C(O)Cc1ccc(O)cc1,6.3824553,5.1579065,4.917931835,1.0193,57.53,152.0473441,250.5446101
Hotspot,8,热点内最高活性分子,120,OCn1cnc2cncnc21,-7.456858,-3.341672,7.217553802,-0.2239,63.83,150.0541608,369.3747187
Hotspot,8,热点中心代表分子,259,C=CCn1cnc2cncnc21,-7.5144124,-3.2836063,5.347246553,1.0123,43.6,160.0748963,404.1049944
Hotspot,9,热点内最高活性分子,55,O=C(O)Cc1ccccc1F,4.788653,4.4204926,7.306877373,1.4528,37.3,154.0430077,270.5494976
Hotspot,9,热点中心代表分子,264,O=C(O)Cc1ccccc1Cl,4.600795,4.4020276,4.769194973,1.9671,37.3,170.0134571,270.5494976
Hotspot,10,热点内最高活性分子,212,C#Cc1cccc(C(C)C)c1,6.775329,8.346918,8.881820379,2.7913,0.0,144.0939004,276.3349389
Hotspot,10,热点中心代表分子,310,CC(C)c1cccc(Br)c1,6.759305,8.580575,5.464925459,3.5725,0.0,198.0044125,215.7231805
Hotspot,11,热点内最高活性分子,318,C#CC1CCCCC1,3.8510957,-8.852051,7.399396679,2.1999,0.0,108.0939004,91.09616281
Hotspot,11,热点中心代表分子,318,C#CC1CCCCC1,3.8510957,-8.852051,7.399396679,2.1999,0.0,108.0939004,91.09616281
Ordinary,-1,普通区域代表分子,312,O=C(O)Cc1cccc(O)c1,7.117589,4.9388857,3.836781506,1.0193,57.53,152.0473441,267.7946101
Ordinary,-1,普通区域代表分子,315,O=C(O)Cc1cccc(F)c1,7.0857315,4.9892974,5.387207689,1.4528,37.3,154.0430077,270.5494976
Ordinary,-1,普通区域代表分子,272,Nc1cccc(CC(=O)O)c1,7.0392346,4.958457,4.97495171,0.8959,63.32,151.0633285,270.5494976
